Día,Atacante,Concello conquistado,Pertenecía a,Eliminado
158,O Baixo Miño,A Paradanta,A Limia,
159,O Baixo Miño,O Ribeiro,A Limia,
160,Meira,A Ulloa,Ferrol,
161,Terra De Soneira,Deza,O Salnés,
162,O Baixo Miño,O Carballiño,O Salnés,
163,Terra De Soneira,A Ulloa,Meira,
164,Terra De Trives,Chantada,A Limia,
165,O Salnés,O Carballiño,O Baixo Miño,
166,Ferrol,A Ulloa,Terra De Soneira,
167,O Baixo Miño,O Carballiño,O Salnés,
168,Meira,A Ulloa,Ferrol,
169,Terra De Trives,A Ulloa,Meira,
170,A Limia,O Carballiño,O Baixo Miño,
171,O Salnés,O Carballiño,A Limia,
172,O Salnés,Deza,Terra De Soneira,
173,Terra De Trives,Terra De Melide,Ferrol,
174,Ferrol,Terra De Melide,Terra De Trives,
175,Meira,A Ulloa,Terra De Trives,
176,O Baixo Miño,O Carballiño,O Salnés,
177,Meira,Deza,O Salnés,
178,Ferrol,Deza,Meira,
179,O Baixo Miño,Deza,Ferrol,
180,A Limia,Chantada,Terra De Trives,
181,Terra De Trives,Chantada,A Limia,
182,Terra De Trives,A Ulloa,Meira,
183,Terra De Trives,Deza,O Baixo Miño,
184,Terra De Soneira,Deza,Terra De Trives,
185,O Baixo Miño,Deza,Terra De Soneira,
186,Ferrol,Deza,O Baixo Miño,
187,A Limia,O Carballiño,O Baixo Miño,
188,O Baixo Miño,O Carballiño,A Limia,
189,Meira,A Ulloa,Terra De Trives,
190,A Limia,O Carballiño,O Baixo Miño,
191,O Salnés,O Carballiño,A Limia,
192,Meira,A Mariña Oriental,Terra De Trives,
193,Terra De Trives,A Ulloa,Meira,
194,Terra De Soneira,Deza,Ferrol,
195,Ferrol,Deza,Terra De Soneira,
196,Ferrol,A Ulloa,Terra De Trives,
197,Terra De Trives,A Mariña Oriental,Meira,
198,A Limia,Chantada,Terra De Trives,
199,Terra De Trives,Chantada,A Limia,
200,O Baixo Miño,O Carballiño,O Salnés,
201,Ferrol,O Carballiño,O Baixo Miño,
202,O Salnés,O Carballiño,Ferrol,
203,O Salnés,O Ribeiro,O Baixo Miño,
204,O Salnés,Chantada,Terra De Trives,
205,Terra De Soneira,Barbanza,O Salnés,
206,O Baixo Miño,O Ribeiro,O Salnés,
207,A Limia,Chantada,O Salnés,
208,O Baixo Miño,O Carballiño,O Salnés,
209,A Limia,O Carballiño,O Baixo Miño,
210,Ferrol,Bergantiños,Terra De Soneira,
211,O Baixo Miño,O Carballiño,A Limia,
212,O Salnés,Barbanza,Terra De Soneira,
213,Terra De Soneira,Bergantiños,Ferrol,
214,A Limia,O Carballiño,O Baixo Miño,
215,O Salnés,O Carballiño,A Limia,
216,Terra De Trives,Chantada,A Limia,
217,O Baixo Miño,O Carballiño,O Salnés,
218,Meira,A Mariña Oriental,Terra De Trives,
219,Ferrol,O Carballiño,O Baixo Miño,
220,Terra De Soneira,Barbanza,O Salnés,
221,Ferrol,Bergantiños,Terra De Soneira,
222,A Limia,O Carballiño,Ferrol,
223,O Baixo Miño,O Carballiño,A Limia,
224,O Baixo Miño,Chantada,Terra De Trives,
225,O Salnés,Barbanza,Terra De Soneira,
226,Ferrol,Chantada,O Baixo Miño,
227,O Salnés,O Carballiño,O Baixo Miño,
228,O Salnés,O Ribeiro,O Baixo Miño,
229,A Limia,Chantada,Ferrol,
230,Meira,A Fonsagrada,Terra De Trives,
231,O Baixo Miño,O Ribeiro,O Salnés,
232,O Salnés,Chantada,A Limia,
233,Terra De Trives,Chantada,O Salnés,
234,Terra De Trives,A Ulloa,Ferrol,
235,O Salnés,Deza,Ferrol,
236,Ferrol,A Ulloa,Terra De Trives,
237,Terra De Soneira,Deza,O Salnés,
238,Terra De Trives,A Ulloa,Ferrol,
239,Terra De Soneira,A Ulloa,Terra De Trives,
240,Terra De Soneira,Bergantiños,Ferrol,
241,Meira,A Ulloa,Terra De Soneira,
242,Meira,Deza,Terra De Soneira,
243,O Baixo Miño,O Carballiño,O Salnés,
244,Ferrol,Deza,Meira,
245,Ferrol,A Ulloa,Meira,
246,A Limia,O Carballiño,O Baixo Miño,
247,O Salnés,O Carballiño,A Limia,
248,Terra De Soneira,Barbanza,O Salnés,
249,Meira,Ortegal,Ferrol,
250,O Baixo Miño,O Carballiño,O Salnés,
251,Terra De Trives,O Carballiño,O Baixo Miño,
252,Meira,Ferrol,Ferrol,
253,O Salnés,Barbanza,Terra De Soneira,
254,Meira,Eume,Ferrol,
